timestamp,participant,experiment,condition,trial,mode,response_format,n_items,interval_s,delay_s,sequence,response,free_correct_n,free_accuracy,serial_correct_n,serial_accuracy,start_accuracy,middle_accuracy,end_accuracy,primacy_index,recency_index,wm_questions,wm_correct,tap_count,chunk_label
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,3.0,0,U || D || R || A || F || D || Z || H || E || V || O || D || R || V || I || X,R || I || X || U || D || R || A || Z || H || E || R || O || G,11,0.6875,0,0.0,0.611111,0.8,0.666667,-0.188889,-0.133333,0,0,0,
2026-09-14T15:00:26,Bert,free_recall,baseline,2,visual,letters,16,3.0,0,A || S || H || E || L || C || J || I || A || F || D || M || U || Z || I || D,M || U || Z || I || D || A || I || F || D || A || H || S || E || L || C || J,16,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-14T15:02:00,Bert,free_recall,baseline,3,visual,letters,16,3.0,0,Q || K || M || J || B || B || U || Q || N || K || Z || Q || S || Z || B || Q,Q || Q || Q || Q || K || K || Z || Z || N || M || U || S || L,12,0.75,2,0.125,0.5,1.0,0.8,-0.5,-0.2,0,0,0,
2026-09-14T15:03:18,Bert,free_recall,baseline,4,visual,letters,16,3.0,0,I || L || O || D || U || Q || U || Z || I || R || P || D || S || L || J || E,D || S || L || J || E || Q || U || I || Z || I || L || U || D || P || R,15,0.9375,2,0.125,0.833333,1.0,1.0,-0.166667,0.0,0,0,0,
2026-09-14T15:04:57,Bert,free_recall,baseline,5,visual,letters,16,3.0,0,E || L || Z || G || Y || S || W || O || O || K || J || V || X || L || C || R,C || R || O || K || O || J || V || X || L || E || G || L || Z || W,14,0.875,0,0.0,0.666667,1.0,1.0,-0.333333,0.0,0,0,0,
2026-09-14T15:12:27,Bert,free_recall,unfilled_delay,1,visual,letters,16,3.0,60,U || W || R || X || U || M || F || W || T || B || V || Q || S || K || Y || C,U || R || W || Q || W || S || T || B || D || L || O || K || N || X || Z || X,10,0.625,1,0.0625,0.666667,0.6,0.6,0.066667,0.0,0,0,0,
2026-09-14T15:15:43,Bert,free_recall,unfilled_delay,2,visual,letters,16,3.0,60,Z || P || J || Q || U || D || Y || T || A || H || W || R || F || P || J || K,Z || P || J || P || J || Q || U || A || H || W || Z || X || C || T || H || L,11,0.6875,3,0.1875,0.833333,0.8,0.4,0.033333,-0.4,0,0,0,
2026-09-14T15:18:20,Bert,free_recall,unfilled_delay,3,visual,letters,16,3.0,60,O || H || Y || Y || A || Q || A || L || J || Z || D || P || L || M || J || R,Z || D || P || M || J || R || O || H || Y || Y || A || A || L,13,0.8125,1,0.0625,0.833333,0.8,0.8,0.033333,0.0,0,0,0,
2026-09-14T15:21:10,Bert,free_recall,unfilled_delay,4,visual,letters,16,3.0,60,V || W || O || M || M || R || T || A || R || E || F || M || Z || W || Z || X,V || W || O || M || M || R || A || T || R || Z || X || L || E || F || D || W,14,0.875,7,0.4375,0.888889,1.0,0.733333,-0.111111,-0.266667,0,0,0,
2026-09-14T15:23:56,Bert,free_recall,unfilled_delay,5,visual,letters,16,3.0,60,P || R || V || M || F || M || G || D || X || I || R || M || P || I || Z || C,P || R || V || M || F || M || G || M || I || P || Z || S || F || Y || T || I,12,0.75,7,0.4375,0.916667,0.5,0.8,0.416667,0.3,0,0,0,
2026-09-14T15:26:19,Bert,free_recall,fast_rate,1,visual,letters,16,1.0,0,S || V || T || B || I || Z || Z || V || X || B || I || M || L || C || B || Q,M || L || C || B || Q || Z || Z || V || B || A || R || P || Q || L || T || A,10,0.625,4,0.25,0.527778,0.433333,0.933333,0.094444,0.5,0,0,0,
2026-09-14T15:27:05,Bert,free_recall,fast_rate,2,visual,letters,16,1.0,0,F || V || H || S || Z || T || A || E || J || N || T || I || P || V || H || I,Z || F || S || D || V || T || H || I || I || J || N || T || L || P || A || E,14,0.875,1,0.0625,0.833333,1.0,0.8,-0.166667,-0.2,0,0,0,
2026-09-14T15:28:13,Bert,free_recall,fast_rate,3,visual,letters,16,1.0,0,G || C || Y || H || A || Y || K || E || P || D || U || Y || Z || N || C || L,C || G || Y || H || A || Y || N || C || L || A || Y || F || P || E || S || L,12,0.75,5,0.3125,1.0,0.4,0.8,0.6,0.4,0,0,0,
2026-09-14T15:28:48,Bert,free_recall,fast_rate,4,visual,letters,16,1.0,0,C || Z || L || M || G || E || I || J || S || T || F || O || Z || B || J || G,L || M || C || Z || F || O || Z || B || J || G || G || E || J || S || T || I,16,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-14T15:29:28,Bert,free_recall,fast_rate,5,visual,letters,16,1.0,0,Y || P || C || R || D || N || W || A || W || I || B || L || U || P || M || V,W || N || A || B || L || U || P || O || S || T || L || A || C || J || R || U,9,0.5625,0,0.0,0.583333,0.6,0.5,-0.016667,-0.1,0,0,0,
2026-09-14T15:33:17,Bert,free_recall,working_memory,1,visual,letters,16,3.0,0,A || A || B || F || B || D || T || B || W || S || N || E || K || N || G || C,N || K || N || C || A || B || B || A || K || D || T || H || W || Q || P || S,12,0.75,0,0.0,0.722222,0.933333,0.6,-0.211111,-0.333333,11,11,0,
2026-09-14T15:35:24,Bert,free_recall,working_memory,2,visual,letters,16,3.0,0,N || Z || N || D || A || R || J || C || F || D || I || H || R || U || K || C,N || Z || K || D || R || A || R || C || K || J || S || K || R || T || P || D,10,0.625,5,0.3125,0.833333,0.5,0.5,0.333333,0.0,12,11,0,
2026-09-14T15:38:25,Bert,free_recall,working_memory,3,visual,letters,16,3.0,0,J || U || H || U || F || D || Y || B || T || N || H || M || M || F || Q || M,M || F || M || Q || M || H || U || J || U || O || P || I || D || S || E || R,10,0.625,0,0.0,0.833333,0.1,0.9,0.733333,0.8,12,11,0,
2026-09-14T15:40:18,Bert,free_recall,working_memory,4,visual,letters,16,3.0,0,I || E || W || T || I || J || J || A || A || P || Z || Y || L || W || M || R,P || O || I || W || E || R || I || A || S || D || A || Z || M || N || G || J,11,0.6875,1,0.0625,0.666667,0.9,0.5,-0.233333,-0.4,11,10,0,
