timestamp,participant,experiment,condition,trial,mode,response_format,n_items,serial_position,region,presented_item,response_at_position,free_recalled,serial_correct,substitution,interval_s,delay_s,chunk_label
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,1,start,F,F,1.0,1,,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,2,start,I,I,1.0,1,,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,3,start,I,N,1.0,0,N,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,4,start,Y,Y,1.0,1,,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,5,start,Z,I,0.0,0,I,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,6,start,U,F,1.0,0,F,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,7,middle,E,H,0.0,0,H,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,8,middle,S,R,1.0,0,R,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,9,middle,F,S,1.0,0,S,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,10,middle,H,V,0.5,0,V,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,11,middle,R,I,1.0,0,I,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,12,end,H,U,0.5,0,U,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,13,end,P,M,0.0,0,M,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,14,end,V,A,1.0,0,A,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,15,end,L,B,0.0,0,B,3.0,0,
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,16,end,N,C,1.0,0,C,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,1,start,P,S,1.0,0,S,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,2,start,Z,T,1.0,0,T,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,3,start,D,I,1.0,0,I,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,4,start,X,P,0.0,0,P,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,5,start,D,Z,1.0,0,Z,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,6,start,W,D,1.0,0,D,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,7,middle,X,V,0.0,0,V,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,8,middle,V,N,1.0,0,N,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,9,middle,U,A,0.5,0,A,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,10,middle,Q,U,0.0,0,U,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,11,middle,I,S,1.0,0,S,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,12,end,J,T,0.0,0,T,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,13,end,U,I,0.5,0,I,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,14,end,T,W,1.0,0,W,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,15,end,S,W,1.0,0,W,3.0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,16,end,I,D,1.0,0,D,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,1,start,P,P,0.5,1,,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,2,start,Q,Z,0.0,0,Z,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,3,start,M,D,0.333333,0,D,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,4,start,G,D,0.0,0,D,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,5,start,M,H,0.333333,0,H,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,6,start,W,H,1.0,0,H,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,7,middle,G,T,0.0,0,T,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,8,middle,M,W,0.333333,0,W,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,9,middle,H,U,1.0,0,U,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,10,middle,N,S,1.0,0,S,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,11,middle,U,A,1.0,0,A,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,12,end,Z,B,1.0,0,B,3.0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,13,end,P,F,0.5,0,F,3.0,0,
