timestamp,participant,experiment,condition,trial,mode,response_format,n_items,serial_position,region,presented_item,response_at_position,free_recalled,serial_correct,substitution,interval_s,delay_s,chunk_label
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,1,start,M,M,1,1,,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,2,start,P,S,0.333333,0,S,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,3,start,C,C,1,1,,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,4,start,B,O,1,0,O,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,5,start,R,P,1,0,P,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,6,start,O,B,1,0,B,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,7,middle,F,R,0.5,0,R,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,8,middle,E,O,0,0,O,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,9,middle,K,C,0,0,C,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,10,middle,O,B,1,0,B,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,11,middle,S,O,1,0,O,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,12,end,O,U,1,0,U,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,13,end,F,N,0.5,0,N,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,14,end,P,L,0.333333,0,L,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,15,end,C,G,1,0,G,3,0,
2026-09-14T13:37:14,Esben,free_recall,baseline,1,visual,letters,16,16,end,P,F,0.333333,0,F,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,1,start,Q,T,0.666667,0,T,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,2,start,T,Q,1,0,Q,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,3,start,Z,Z,1,1,,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,4,start,C,F,1,0,F,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,5,start,F,U,1,0,U,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,6,start,P,Q,0,0,Q,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,7,middle,Y,C,0,0,C,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,8,middle,Q,U,0.666667,0,U,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,9,middle,T,K,1,0,K,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,10,middle,W,T,1,0,T,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,11,middle,B,W,1,0,W,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,12,end,R,B,1,0,B,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,13,end,Q,R,0.666667,0,R,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,14,end,O,U,1,0,U,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,15,end,G,O,1,0,O,3,0,
2026-09-14T13:38:36,Esben,free_recall,baseline,2,visual,letters,16,16,end,U,G,1,0,G,3,0,
