timestamp,participant,experiment,condition,trial,mode,response_format,n_items,serial_position,region,presented_item,response_at_position,free_recalled,serial_correct,substitution,interval_s,delay_s,chunk_label
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,1,start,U,R,1.0,0,R,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,2,start,D,I,0.333333,0,I,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,3,start,R,X,1.0,0,X,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,4,start,A,U,1.0,0,U,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,5,start,F,D,0.0,0,D,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,6,start,D,R,0.333333,0,R,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,7,middle,Z,A,1.0,0,A,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,8,middle,H,Z,1.0,0,Z,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,9,middle,E,H,1.0,0,H,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,10,middle,V,E,0.0,0,E,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,11,middle,O,R,1.0,0,R,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,12,end,D,O,0.333333,0,O,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,13,end,R,G,1.0,0,G,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,14,end,V,,0.0,0,,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,15,end,I,,1.0,0,,3.0,0,
2026-09-14T14:59:05,Bert,free_recall,baseline,1,visual,letters,16,16,end,X,,1.0,0,,3.0,0,
