timestamp,participant,experiment,condition,trial,mode,response_format,n_items,interval_s,delay_s,sequence,response,free_correct_n,free_accuracy,serial_correct_n,serial_accuracy,start_accuracy,middle_accuracy,end_accuracy,primacy_index,recency_index,wm_questions,wm_correct,tap_count,chunk_label
2026-09-18T14:07:43,Esben2,free_recall,baseline,1,visual,letters,16,3.0,0,F || R || F || A || X || Q || H || L || C || G || W || C || B || R || X || F,F || A || R || F || F || X || Q || L || H || X || G || R || W || C || C || L,15,0.9375,2,0.125,1.0,1.0,0.8,0.0,-0.2,0,0,0,
2026-09-18T14:09:08,Esben2,free_recall,baseline,2,visual,letters,16,3.0,0,E || W || D || X || E || X || E || Z || V || U || M || J || K || S || B || H,S || B || H || D || E || W || E || X || E || X || Z || U || M || H || S || M,13,0.8125,2,0.125,1.0,0.8,0.6,0.2,-0.2,0,0,0,
2026-09-18T14:10:11,Esben2,free_recall,baseline,3,visual,letters,16,3.0,0,D || F || I || D || W || B || H || S || Y || I || Z || D || Z || A || H || S,Y || I || Z || D || Z || A || H || S || F || E || D || D || W || B || H || S,15,0.9375,6,0.375,0.916667,0.9,1.0,0.016667,0.1,0,0,0,
2026-09-18T14:13:06,Esben2,free_recall,unfilled_delay,1,visual,letters,16,3.0,60,Y || F || C || M || Y || K || G || N || E || U || S || R || W || O || I || R,F || Y || K || M || Y || K || N || I || G || U || S || E || R || O || W || I,14,0.875,6,0.375,0.833333,1.0,0.8,-0.166667,-0.2,0,0,0,
2026-09-18T14:15:15,Esben2,free_recall,unfilled_delay,2,visual,letters,16,3.0,60,B || T || W || V || V || T || P || H || X || B || I || C || O || R || C || V,B || T || W || V || V || V || T || P || H || U || C || O || R || P || B || H,13,0.8125,5,0.3125,1.0,0.6,0.8,0.4,0.2,0,0,0,
2026-09-18T14:17:20,Esben2,free_recall,unfilled_delay,3,visual,letters,16,3.0,60,Y || L || N || L || S || U || U || W || L || H || D || U || V || K || P || N,L || Y || N || L || U || S || L || U || V || D || U || H || V || K || P || N,15,0.9375,6,0.375,1.0,0.8,1.0,0.2,0.2,0,0,0,
2026-09-18T14:18:37,Esben2,free_recall,fast_rate,1,visual,letters,16,1.0,0,V || S || B || G || U || A || X || H || M || F || X || S || K || R || Y || V,K || Y || V || U || X || N || Y || K || H || L || V || X || C || W || S || D,9,0.5625,0,0.0,0.416667,0.6,0.7,-0.183333,0.1,0,0,0,
2026-09-18T14:19:19,Esben2,free_recall,fast_rate,2,visual,letters,16,1.0,0,Y || U || L || J || V || Q || I || Q || W || U || G || S || B || Z || X || Z,B || Z || X || Z || J || U || L || Y || W || Q || I || Q || U || G || L || K,14,0.875,1,0.0625,0.833333,1.0,0.8,-0.166667,-0.2,0,0,0,
2026-09-18T14:19:57,Esben2,free_recall,fast_rate,3,visual,letters,16,1.0,0,A || M || V || H || E || Y || X || M || V || E || K || H || W || B || D || O,D || O || B || W || M || V || M || A || V || E || K || Y || X || W || L || G,13,0.8125,3,0.1875,0.75,0.9,0.8,-0.15,-0.1,0,0,0,
2026-09-18T14:22:16,Esben2,free_recall,working_memory,1,visual,letters,16,3.0,0,A || I || U || C || W || E || C || R || A || A || N || V || I || B || T || S,V || V || I || U || O || B || U || D || E || C || A || A || M || E || Y || L,8,0.5,0,0.0,0.611111,0.366667,0.5,0.244444,0.133333,10,9,0,
2026-09-18T14:24:09,Esben2,free_recall,working_memory,2,visual,letters,16,3.0,0,Z || R || C || O || T || S || L || Z || E || O || H || N || F || P || Z || Z,Z || E || L || T || Z || S || Z || Z || C || R || O || S || N || P || H || R,14,0.875,4,0.25,0.916667,0.9,0.8,0.016667,-0.1,8,8,0,
2026-09-18T14:26:09,Esben2,free_recall,working_memory,3,visual,letters,16,3.0,0,O || B || P || O || A || Z || K || Q || Z || A || H || J || V || T || G || A,J || V || T || G || A || B || O || A || P || O || Z || Z || Q || I || Z || L,13,0.8125,1,0.0625,0.944444,0.533333,0.933333,0.411111,0.4,10,9,0,
2026-09-18T14:38:21,Esben2,serial_recall,capacity_n4,1,visual,letters,4,3.0,0,M || R || Z || K,M || R || Z || K,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:38:37,Esben2,serial_recall,capacity_n4,2,visual,letters,4,3.0,0,X || D || V || M,X || D || V || M,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:38:53,Esben2,serial_recall,capacity_n4,3,visual,letters,4,3.0,0,W || W || K || W,W || W || K || W,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:39:09,Esben2,serial_recall,capacity_n4,4,visual,letters,4,3.0,0,F || W || S || E,F || W || S || E,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:39:26,Esben2,serial_recall,capacity_n4,5,visual,letters,4,3.0,0,V || T || J || T,V || T || J || T,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:39:42,Esben2,serial_recall,capacity_n4,6,visual,letters,4,3.0,0,Y || P || I || B,Y || P || I || B,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:40:02,Esben2,serial_recall,capacity_n5,7,visual,letters,5,3.0,0,T || X || E || C || K,T || X || E || C || K,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:40:25,Esben2,serial_recall,capacity_n5,8,visual,letters,5,3.0,0,F || Z || K || B || B,F || Z || K || B || B,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:40:45,Esben2,serial_recall,capacity_n5,9,visual,letters,5,3.0,0,B || W || B || I || N,B || W || B || I || N,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:41:06,Esben2,serial_recall,capacity_n5,10,visual,letters,5,3.0,0,Q || Q || E || E || S,Q || Q || E || E || S,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:41:26,Esben2,serial_recall,capacity_n5,11,visual,letters,5,3.0,0,P || I || Y || X || N,P || I || Y || X || N,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:41:47,Esben2,serial_recall,capacity_n5,12,visual,letters,5,3.0,0,Z || Q || T || F || R,Z || Q || T || F || R,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:42:11,Esben2,serial_recall,capacity_n6,13,visual,letters,6,3.0,0,N || J || Z || Z || B || H,N || J || Z || Z || B || H,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:42:39,Esben2,serial_recall,capacity_n6,14,visual,letters,6,3.0,0,F || M || N || S || F || X,F || M || N || S || F || X,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:43:07,Esben2,serial_recall,capacity_n6,15,visual,letters,6,3.0,0,E || A || X || V || N || D,E || A || X || V || N || D,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-18T14:43:30,Esben2,serial_recall,capacity_n6,16,visual,letters,6,3.0,0,E || F || U || M || K || I,E || F || U || M || K || I,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
