timestamp,participant,experiment,condition,trial,mode,response_format,n_items,interval_s,delay_s,sequence,response,free_correct_n,free_accuracy,serial_correct_n,serial_accuracy,start_accuracy,middle_accuracy,end_accuracy,primacy_index,recency_index,wm_questions,wm_correct,tap_count,chunk_label
2026-09-22T06:16:10,Seb,free_recall,baseline,1,visual,letters,16,3.0,0,O || E || W || Z || E || S || T || N || G || G || C || D || N || M || I || I,O || E || W || Z || E || S || T || G || G || C || D || N || I || I || M || G,15,0.9375,8,0.5,1.0,0.9,0.9,0.1,0.0,0,0,0,
2026-09-22T06:17:36,Seb,free_recall,baseline,2,visual,letters,16,3.0,0,T || T || X || M || P || K || S || G || Z || R || J || Z || W || L || N || A,T || T || X || S || G || Z || R || E || Z || W || M || X || N || C || E || D,11,0.6875,4,0.25,0.666667,0.8,0.6,-0.133333,-0.2,0,0,0,
2026-09-22T06:19:05,Seb,free_recall,baseline,3,visual,letters,16,3.0,0,Z || L || B || F || B || B || S || Q || Z || U || D || I || U || V || V || O,S || Q || D || I || O || V || V || B || B || B || F || X || N || N || M || M,11,0.6875,0,0.0,0.666667,0.6,0.8,0.066667,0.2,0,0,0,
2026-09-22T07:02:14,Seb,free_recall,fast_rate,1,visual,letters,16,1.0,0,H || T || A || J || T || C || K || C || F || J || W || N || M || R || K || R,R || R || T || T || H || A || J || W || H || I || O || M || N || L || J || G,11,0.6875,0,0.0,0.833333,0.4,0.8,0.433333,0.4,0,0,0,
2026-09-22T07:02:57,Seb,free_recall,fast_rate,2,visual,letters,16,1.0,0,I || N || M || D || L || B || E || M || X || Y || D || G || W || T || A || Z,M || L || B || I || N || W || Z || X || Y || O || I || J || L || A || E || R,11,0.6875,0,0.0,0.75,0.7,0.6,0.05,-0.1,0,0,0,
2026-09-22T07:03:31,Seb,free_recall,fast_rate,3,visual,letters,16,1.0,0,V || M || O || X || I || Y || X || A || Z || Y || S || L || Y || F || I || O,Y || Y || Y || X || X || Z || O || A || W || S || I || G || F || H || M || N,12,0.75,2,0.125,0.666667,1.0,0.6,-0.333333,-0.4,0,0,0,
2026-09-22T07:10:04,Seb,free_recall,working_memory,1,visual,letters,16,3.0,0,U || O || Y || R || E || C || Q || L || A || M || A || H || U || O || A || C,L || M || A || O || U || Q || H || A || O || I || R || T || V || N || M || S,10,0.625,0,0.0,0.416667,0.866667,0.633333,-0.45,-0.233333,6,6,0,
2026-09-22T07:11:42,Seb,free_recall,working_memory,2,visual,letters,16,3.0,0,Q || B || V || O || E || R || P || V || L || Z || T || P || P || Z || V || C,V || V || O || I || H || G || J || Z || X || Q || A || S || W || E || R || L,8,0.5,0,0.0,0.777778,0.433333,0.233333,0.344444,-0.2,5,5,0,
2026-09-22T07:13:18,Seb,free_recall,working_memory,3,visual,letters,16,3.0,0,O || B || P || V || H || N || Q || X || O || T || A || L || M || Z || H || A,O || B || V || H || L || H || A || J || W || Z || Q || R || F || T || L || K,10,0.625,2,0.125,0.583333,0.6,0.7,-0.016667,0.1,6,6,0,
2026-09-22T07:14:54,Seb,serial_recall,capacity_n4,1,visual,letters,4,3.0,0,F || F || T || Y,F || F || T || Y,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:15:12,Seb,serial_recall,capacity_n4,2,visual,letters,4,3.0,0,U || X || F || D,U || X || F || D,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:15:29,Seb,serial_recall,capacity_n4,3,visual,letters,4,3.0,0,X || F || H || Q,X || F || H || Q,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:15:47,Seb,serial_recall,capacity_n4,4,visual,letters,4,3.0,0,R || I || Y || V,R || I || Y || V,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:16:04,Seb,serial_recall,capacity_n4,5,visual,letters,4,3.0,0,I || C || K || D,I || C || K || D,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:16:20,Seb,serial_recall,capacity_n4,6,visual,letters,4,3.0,0,D || T || P || W,D || T || P || W,4,1.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:16:42,Seb,serial_recall,capacity_n5,7,visual,letters,5,3.0,0,D || Z || O || F || N,D || Z || O || F || N,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:17:02,Seb,serial_recall,capacity_n5,8,visual,letters,5,3.0,0,P || Q || T || Z || C,P || Q || T || Z || C,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:17:23,Seb,serial_recall,capacity_n5,9,visual,letters,5,3.0,0,T || G || C || O || F,T || G || C || O || F,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:17:44,Seb,serial_recall,capacity_n5,10,visual,letters,5,3.0,0,E || U || V || A || F,E || U || V || A || F,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:18:05,Seb,serial_recall,capacity_n5,11,visual,letters,5,3.0,0,K || C || F || G || D,K || C || F || G || D,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:18:25,Seb,serial_recall,capacity_n5,12,visual,letters,5,3.0,0,E || F || I || X || B,E || F || I || X || B,5,1.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:18:48,Seb,serial_recall,capacity_n6,13,visual,letters,6,3.0,0,C || S || V || W || A || K,C || S || V || W || A || K,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:19:12,Seb,serial_recall,capacity_n6,14,visual,letters,6,3.0,0,F || V || T || W || B || W,F || V || T || W || B || W,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:19:36,Seb,serial_recall,capacity_n6,15,visual,letters,6,3.0,0,M || G || Z || U || C || T,M || G || Z || U || C || T,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:20:00,Seb,serial_recall,capacity_n6,16,visual,letters,6,3.0,0,S || O || X || Y || H || U,S || O || X || Y || H || U,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:20:24,Seb,serial_recall,capacity_n6,17,visual,letters,6,3.0,0,S || B || E || T || B || D,S || B || E || T || B || D,6,1.0,6,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:20:57,Seb,serial_recall,capacity_n6,18,visual,letters,6,3.0,0,N || F || E || Q || Z || S,N || F || E || Q || Z || F,5,0.833333,5,0.833333,1.0,1.0,0.5,0.0,-0.5,0,0,0,
2026-09-22T07:21:26,Seb,serial_recall,capacity_n7,19,visual,letters,7,3.0,0,D || G || L || D || R || C || E,D || G || L || D || R || C || E,7,1.0,7,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:21:56,Seb,serial_recall,capacity_n7,20,visual,letters,7,3.0,0,U || T || K || Y || Q || C || B,U || T || K || Y || Q || C || B,7,1.0,7,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:22:27,Seb,serial_recall,capacity_n7,21,visual,letters,7,3.0,0,R || M || X || K || X || Z || Z,R || M || X || K || X || Z || Z,7,1.0,7,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:23:06,Seb,serial_recall,capacity_n7,22,visual,letters,7,3.0,0,O || Y || M || S || Y || V || L,O || Y || M || S || V || Y || M,6,0.857143,4,0.571429,1.0,1.0,0.5,0.0,-0.5,0,0,0,
2026-09-22T07:29:16,Seb,serial_recall,capacity_n7,23,visual,letters,7,3.0,0,A || O || C || B || B || J || E,A || O || C || B || B || J || E,7,1.0,7,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:34:23,Seb,serial_recall,capacity_n7,24,visual,letters,7,3.0,0,D || W || M || T || E || G || U,D || W || M || T || E || D || U,6,0.857143,6,0.857143,1.0,1.0,0.5,0.0,-0.5,0,0,0,
2026-09-22T07:35:19,Seb,serial_recall,capacity_n8,25,visual,letters,8,3.0,0,F || Q || S || C || D || Z || K || W,N || Q || S || D || Z || Q || W || N,5,0.625,2,0.25,0.666667,0.666667,0.5,0.0,-0.166667,0,0,0,
2026-09-22T07:36:20,Seb,serial_recall,capacity_n8,26,visual,letters,8,3.0,0,B || V || Q || P || K || V || C || S,N || Q || B || E || B || V || Q || S,4,0.5,2,0.25,0.833333,0.166667,0.5,0.666667,0.333333,0,0,0,
2026-09-22T07:37:23,Seb,serial_recall,capacity_n8,27,visual,letters,8,3.0,0,N || Q || Y || Q || P || F || Q || H,N || Q || V || Q || P || F || Y || Q,7,0.875,5,0.625,1.0,1.0,0.5,0.0,-0.5,0,0,0,
2026-09-22T07:37:58,Seb,serial_recall,capacity_n8,28,visual,letters,8,3.0,0,U || T || Y || N || N || G || T || D,Q || N || Y || N || N || G || T || D,6,0.75,6,0.75,0.5,1.0,0.75,-0.5,-0.25,0,0,0,
2026-09-22T07:38:29,Seb,serial_recall,capacity_n8,29,visual,letters,8,3.0,0,D || P || N || I || H || L || V || N,D || P || N || I || H || L || V || N,8,1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:39:05,Seb,serial_recall,capacity_n8,30,visual,letters,8,3.0,0,S || E || K || M || P || E || Q || O,S || E || K || M || P || E || P || Q,7,0.875,6,0.75,1.0,1.0,0.5,0.0,-0.5,0,0,0,
2026-09-22T07:40:10,Seb,serial_recall,capacity_n9,31,visual,letters,9,3.0,0,U || V || D || M || I || K || V || O || P,U || E || D || N || E || G || V || O || P,5,0.555556,5,0.555556,0.833333,0.0,0.833333,0.833333,0.833333,0,0,0,
2026-09-22T07:40:47,Seb,serial_recall,capacity_n9,32,visual,letters,9,3.0,0,S || D || G || N || Q || C || T || T || Q,S || V || D || N || Q || C || T || T || E,7,0.777778,6,0.666667,0.666667,0.833333,0.833333,-0.166667,0.0,0,0,0,
2026-09-22T07:41:23,Seb,serial_recall,capacity_n9,33,visual,letters,9,3.0,0,I || L || H || F || X || G || B || G || B,I || L || H || F || X || G || B || G || B,9,1.0,9,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:42:03,Seb,serial_recall,capacity_n9,34,visual,letters,9,3.0,0,E || G || E || E || A || I || I || P || F,E || G || E || E || A || I || I || P || F,9,1.0,9,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:42:39,Seb,serial_recall,capacity_n9,35,visual,letters,9,3.0,0,N || J || E || U || E || I || X || K || D,N || J || E || U || E || I || X || K || D,9,1.0,9,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,
2026-09-22T07:43:21,Seb,serial_recall,capacity_n9,36,visual,letters,9,3.0,0,D || B || K || J || G || P || A || F || E,D || P || K || J || G || P || A || I || E,7,0.777778,7,0.777778,0.666667,1.0,0.666667,-0.333333,-0.333333,0,0,0,
